Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Faculty Chair Endowments,Dallas,College of Arts and Sciences,Endowment,11499,7/31/2011,Art Education,2603,TX
College of Social Science,Dallas,College of Arts and Sciences,Scholarship,109,12/6/2012,Art Education,2603,TX
Honors Program,Dallas,College of Arts and Sciences,Campus Resource,11446,6/4/2013,Art Education,2603,TX
College of Social Science,Knoxville,College of Communication Arts and Sciences,Scholarship,14,9/14/2011,Media and Information,2604,TN
College of Social Science,Knoxville,College of Communication Arts and Sciences,Scholarship,7330,1/3/2012,Media and Information,2604,TN
Alumni Association,Knoxville,College of Communication Arts and Sciences,Campus Resource,23855,10/5/2013,Media and Information,2604,TN
University Libraries,Memphis,College of Natural Science,Campus Resource,10973,3/11/2011,Human Biology,2605,TN
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,7896,12/14/2012,Human Biology,2605,TN
Minority Scholarship Fund,Memphis,College of Natural Science,Scholarship,13622,5/16/2013,Human Biology,2605,TN
College of Arts and Sciences,Indianapolis,College of Arts and Sciences,Scholarship,11824,2/18/2011,Chinese,2606,IN
College of Arts and Sciences,Indianapolis,College of Arts and Sciences,Scholarship,4379,2/25/2012,Chinese,2606,IN
Faculty Chair Endowments,Indianapolis,College of Arts and Sciences,Endowment,12570,9/19/2013,Chinese,2606,IN
Minority Scholarship Fund,Overland Park,College of Music,Scholarship,2175,3/17/2011,Jazz Studies,2607,KS
Trustees Fund,Overland Park,College of Music,Endowment,4106,8/22/2012,Jazz Studies,2607,KS
College of Social Science,Overland Park,College of Music,Scholarship,23680,11/20/2013,Jazz Studies,2607,KS
College of Social Science,North Las Vegas,College of Arts and Sciences,Scholarship,6474,4/13/2011,French,2608,NV
Diversity Fund,North Las Vegas,College of Arts and Sciences,Endowment,160,5/28/2012,French,2608,NV
College of Agriculture and Natural Resources,North Las Vegas,College of Arts and Sciences,Scholarship,11878,1/16/2013,French,2608,NV
Faculty Chair Endowments,North Las Vegas,College of Business,Endowment,2483,9/26/2011,Marketing,2609,NV
Minority Scholarship Fund,North Las Vegas,College of Business,Scholarship,1557,4/26/2012,Marketing,2609,NV
College of Arts and Sciences,North Las Vegas,College of Business,Scholarship,13535,8/29/2013,Marketing,2609,NV
Faculty Chair Endowments,Lansing,College of Education,Endowment,7526,4/14/2011,Athletic Training,2610,MI
University Annual Fund,Lansing,College of Education,Endowment,6713,12/6/2012,Athletic Training,2610,MI
Trustees Fund,Lansing,College of Education,Endowment,15300,9/12/2013,Athletic Training,2610,MI
College of Education,Orlando,College of Natural Science,Scholarship,997,2/21/2011,Neuroscience,2611,FL
Trustees Fund,Orlando,College of Natural Science,Endowment,1143,6/7/2012,Neuroscience,2611,FL
Diversity Fund,Orlando,College of Natural Science,Endowment,23412,1/23/2013,Neuroscience,2611,FL
Faculty Chair Endowments,Baton Rouge,College of Agriculture and Natural Resources,Endowment,5578,11/29/2011,Interior Design,2612,LA
College of Communication Arts and Sciences,Baton Rouge,College of Agriculture and Natural Resources,Scholarship,2069,4/4/2012,Interior Design,2612,LA
College of Social Science,Baton Rouge,College of Agriculture and Natural Resources,Scholarship,20777,3/22/2013,Interior Design,2612,LA
College of Arts and Sciences,Los Angeles,College of Arts and Sciences,Scholarship,1396,11/14/2011,Apparel and Textile Design,2613,CA
College of Arts and Sciences,Los Angeles,College of Arts and Sciences,Scholarship,3190,6/22/2012,Apparel and Textile Design,2613,CA
Minority Scholarship Fund,Los Angeles,College of Arts and Sciences,Scholarship,26456,6/18/2013,Apparel and Textile Design,2613,CA
College of Arts and Sciences,San Francisco,College of Music,Scholarship,2372,8/14/2011,Jazz Studies,2614,CA
College of Arts and Sciences,San Francisco,College of Music,Scholarship,4770,7/25/2012,Jazz Studies,2614,CA
College of Arts and Sciences,San Francisco,College of Music,Scholarship,13836,10/10/2013,Jazz Studies,2614,CA
Diversity Fund,Hartford,College of Arts and Sciences,Endowment,11813,10/25/2011,Professional Writing,2615,CT
Diversity Fund,Hartford,College of Arts and Sciences,Endowment,6935,11/12/2012,Professional Writing,2615,CT
Faculty Chair Endowments,Hartford,College of Arts and Sciences,Endowment,14968,12/25/2013,Professional Writing,2615,CT
Faculty Chair Endowments,Kansas City,College of Arts and Sciences,Endowment,2472,11/26/2011,Interdisciplinary Humanities,2616,MO
College of Arts and Sciences,Kansas City,College of Arts and Sciences,Scholarship,8227,9/28/2012,Interdisciplinary Humanities,2616,MO
Faculty Chair Endowments,Kansas City,College of Arts and Sciences,Endowment,12990,10/23/2013,Interdisciplinary Humanities,2616,MO
University Annual Fund,Kansas City,College of Arts and Sciences,Endowment,5574,5/28/2015,Interdisciplinary Humanities,2616,MO
Trustees Fund,Denver,College of Agriculture and Natural Resources,Endowment,4608,10/6/2011,Agribusiness Management,2617,CO
University Annual Fund,Denver,College of Agriculture and Natural Resources,Endowment,2278.5,10/31/2012,Agribusiness Management,2617,CO
Honors Program,Denver,College of Agriculture and Natural Resources,Campus Resource,24952.5,9/4/2013,Agribusiness Management,2617,CO
College of Natural Science,Denver,College of Agriculture and Natural Resources,Scholarship,829.5,4/3/2015,Agribusiness Management,2617,CO
Diversity Fund,New York,College of Arts and Sciences,Endowment,8019,9/25/2011,Professional Writing,2618,NY
College of Natural Science,New York,College of Arts and Sciences,Scholarship,9763,6/8/2012,Professional Writing,2618,NY
College of Natural Science,New York,College of Arts and Sciences,Scholarship,24443,6/7/2013,Professional Writing,2618,NY
Campus Recreation,New York,College of Arts and Sciences,Campus Resource,1278,7/24/2015,Professional Writing,2618,NY
Faculty Chair Endowments,Denver,College of Agriculture and Natural Resources,Endowment,9574.5,10/20/2011,Construction Management,2619,CO
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,2425.5,9/25/2012,Construction Management,2619,CO
College of Social Science,Denver,College of Agriculture and Natural Resources,Scholarship,38052,8/7/2013,Construction Management,2619,CO
College of Social Science,Denver,College of Agriculture and Natural Resources,Scholarship,1578,7/14/2015,Construction Management,2619,CO
College of Communication Arts and Sciences,Durham,College of Music,Scholarship,2732,2/9/2011,Music,2620,NC
Faculty Chair Endowments,Durham,College of Music,Endowment,2931,12/24/2012,Music,2620,NC
College of Social Science,Durham,College of Music,Scholarship,14449,12/9/2013,Music,2620,NC
College of Engineering,Durham,College of Music,Scholarship,1362,4/26/2015,Music,2620,NC
University Libraries,Charlotte,College of Education,Campus Resource,10295,5/5/2011,Special Education-Learning Disabilities,2621,NC
College of Arts and Sciences,Charlotte,College of Education,Scholarship,274,9/2/2012,Special Education-Learning Disabilities,2621,NC
Faculty Chair Endowments,Charlotte,College of Education,Endowment,12752,5/9/2013,Special Education-Learning Disabilities,2621,NC
Faculty Chair Endowments,Charlotte,College of Education,Endowment,964,1/29/2015,Special Education-Learning Disabilities,2621,NC
Trustees Fund,Paterson,College of Natural Science,Endowment,1601,5/8/2011,Zoology,2622,NJ
Faculty Chair Endowments,Paterson,College of Natural Science,Endowment,3826,5/7/2012,Zoology,2622,NJ
College of Nursing,Paterson,College of Natural Science,Scholarship,29538,11/29/2013,Zoology,2622,NJ
In-State Scholarship Fund,Paterson,College of Natural Science,Scholarship,8893,10/12/2015,Zoology,2622,NJ
Diversity Fund,Wichita,College of Natural Science,Endowment,5965,10/18/2011,Chemical Physics,2623,KS
University Annual Fund,Wichita,College of Natural Science,Endowment,299,7/23/2012,Chemical Physics,2623,KS
College of Natural Science,Wichita,College of Natural Science,Scholarship,14254,7/4/2013,Chemical Physics,2623,KS
College of Social Science,Wichita,College of Natural Science,Scholarship,3691,9/12/2015,Chemical Physics,2623,KS
Trustees Fund,San Francisco,College of Arts and Sciences,Endowment,811,10/11/2011,Art History and Visual Culture,2624,CA
Campus Recreation,San Francisco,College of Arts and Sciences,Campus Resource,11783,9/28/2012,Art History and Visual Culture,2624,CA
Diversity Fund,San Francisco,College of Arts and Sciences,Endowment,13292,10/4/2013,Art History and Visual Culture,2624,CA
Trustees Fund,San Francisco,College of Arts and Sciences,Endowment,4846,7/17/2015,Art History and Visual Culture,2624,CA
Minority Scholarship Fund,New Orleans,College of Arts and Sciences,Scholarship,946,11/30/2011,Apparel and Textile Design,2625,LA
Diversity Fund,New Orleans,College of Arts and Sciences,Endowment,11162,9/12/2012,Apparel and Textile Design,2625,LA
College of Social Science,New Orleans,College of Arts and Sciences,Scholarship,20967,8/11/2013,Apparel and Textile Design,2625,LA
College of Social Science,New Orleans,College of Arts and Sciences,Scholarship,7681,3/16/2015,Apparel and Textile Design,2625,LA
Faculty Chair Endowments,Chicago,College of Education,Endowment,11103,8/10/2011,Kinesiology,2626,IL
Alumni Association,Chicago,College of Education,Campus Resource,4358,7/8/2012,Kinesiology,2626,IL
University Libraries,Chicago,College of Education,Campus Resource,12475,3/27/2013,Kinesiology,2626,IL
College of Arts and Sciences,Chicago,College of Education,Scholarship,3641,9/9/2015,Kinesiology,2626,IL
University Annual Fund,New York,College of Social Science,Endowment,5849,3/29/2011,Criminal Justice,2627,NY
University Annual Fund,New York,College of Social Science,Endowment,6622,2/21/2012,Criminal Justice,2627,NY
Campus Museums,New York,College of Social Science,Campus Resource,20211,9/13/2013,Criminal Justice,2627,NY
College of Social Science,New York,College of Social Science,Scholarship,2228,5/1/2015,Criminal Justice,2627,NY
University Annual Fund,Casper,College of Arts and Sciences,Endowment,1451,1/17/2011,Studio Art,2628,WY
Trustees Fund,Casper,College of Arts and Sciences,Endowment,4374,4/3/2012,Studio Art,2628,WY
University Annual Fund,Casper,College of Arts and Sciences,Endowment,21763,2/12/2013,Studio Art,2628,WY
University Libraries,Casper,College of Arts and Sciences,Campus Resource,9411,11/10/2015,Studio Art,2628,WY
College of Arts and Sciences,Alexandria,College of Arts and Sciences,Scholarship,3858,11/24/2011,Professional Writing,2629,VA
College of Arts and Sciences,Alexandria,College of Arts and Sciences,Scholarship,5148,5/22/2012,Professional Writing,2629,VA
College of Social Science,Alexandria,College of Arts and Sciences,Scholarship,14097,2/8/2013,Professional Writing,2629,VA
Parents Association,Alexandria,College of Arts and Sciences,Campus Resource,2525,4/7/2015,Professional Writing,2629,VA
College of Agriculture and Natural Resources,Memphis,College of Arts and Sciences,Scholarship,11886,6/17/2011,Global Studies in the Arts and Humanities,2630,TN
University Annual Fund,Memphis,College of Arts and Sciences,Endowment,6818,5/28/2012,Global Studies in the Arts and Humanities,2630,TN
Honors Program,Memphis,College of Arts and Sciences,Campus Resource,14618,11/21/2013,Global Studies in the Arts and Humanities,2630,TN
Faculty Chair Endowments,Memphis,College of Arts and Sciences,Endowment,3354,7/14/2015,Global Studies in the Arts and Humanities,2630,TN
Trustees Fund,Scottsdale,College of Natural Science,Endowment,833,1/31/2011,Biochemistry and Molecular Biology/Biotechnology,2631,AZ
Alumni Association,Scottsdale,College of Natural Science,Campus Resource,4999,12/24/2012,Biochemistry and Molecular Biology/Biotechnology,2631,AZ
Alumni Association,Scottsdale,College of Natural Science,Campus Resource,17153,6/26/2013,Biochemistry and Molecular Biology/Biotechnology,2631,AZ
Minority Scholarship Fund,Scottsdale,College of Natural Science,Scholarship,5689,1/6/2015,Biochemistry and Molecular Biology/Biotechnology,2631,AZ
Minority Scholarship Fund,San Diego,College of Music,Scholarship,7333,5/19/2011,Composition,2632,CA
College of Social Science,San Diego,College of Music,Scholarship,5189,7/2/2012,Composition,2632,CA
University Annual Fund,San Diego,College of Music,Endowment,25464,2/12/2013,Composition,2632,CA
Trustees Fund,San Diego,College of Music,Endowment,3596,1/29/2015,Composition,2632,CA
University Annual Fund,Cincinnati,College of Arts and Sciences,Endowment,3475,6/27/2011,Apparel and Textiles,2633,OH
College of Arts and Sciences,Cincinnati,College of Arts and Sciences,Scholarship,2537,2/15/2012,Apparel and Textiles,2633,OH
College of Social Science,Cincinnati,College of Arts and Sciences,Scholarship,25348,1/22/2013,Apparel and Textiles,2633,OH
University Annual Fund,Cincinnati,College of Arts and Sciences,Endowment,450,3/28/2015,Apparel and Textiles,2633,OH
Diversity Fund,Anaheim,College of Natural Science,Endowment,9874,7/20/2011,Neuroscience,2634,CA
College of Natural Science,Anaheim,College of Natural Science,Scholarship,3937,7/20/2012,Neuroscience,2634,CA
College of Natural Science,Anaheim,College of Natural Science,Scholarship,15269,1/19/2013,Neuroscience,2634,CA
College of Arts and Sciences,Anaheim,College of Natural Science,Scholarship,6892,11/23/2015,Neuroscience,2634,CA
Minority Scholarship Fund,Detroit,College of Agriculture and Natural Resources,Scholarship,3704,10/9/2011,Animal Science,2635,MI
College of Arts and Sciences,Detroit,College of Agriculture and Natural Resources,Scholarship,5009,10/9/2012,Animal Science,2635,MI
Faculty Chair Endowments,Detroit,College of Agriculture and Natural Resources,Endowment,17906,10/18/2013,Animal Science,2635,MI
College of Agriculture and Natural Resources,Detroit,College of Agriculture and Natural Resources,Scholarship,3485,5/3/2015,Animal Science,2635,MI
University Annual Fund,Mobile,College of Veterinary Medicine,Endowment,77,12/15/2014,Preveterinary,2636,AL
Diversity Fund,Denver,College of Social Science,Endowment,11331,2/11/2014,Economics,2637,CO
College of Natural Science,Birmingham,College of Arts and Sciences,Scholarship,2448,7/4/2014,Professional Writing,2638,AL
College of Natural Science,Boston,College of Arts and Sciences,Scholarship,7276,5/16/2014,German,2639,MA
College of Natural Science,Los Angeles,College of Social Science,Scholarship,3889,10/11/2014,Public Policy,2640,CA
Faculty Chair Endowments,Dallas,College of Communication Arts and Sciences,Endowment,1717,7/15/2014,Advertising,2641,TX
College of Natural Science,San Francisco,College of Natural Science,Scholarship,1584,12/27/2014,Biological Science Interdepartmental,2642,CA
University Annual Fund,Fresno,College of Arts and Sciences,Endowment,7844,3/23/2014,German,2643,CA
Diversity Fund,Phoenix,College of Social Science,Endowment,2931,7/6/2014,Interdisciplinary Studies in Social Science - Social Science Education,2644,AZ
College of Agriculture and Natural Resources,Hartford,College of Natural Science,Scholarship,6643,11/30/2014,Astrophysics,2645,CT
College of Social Science,Madison,College of Arts and Sciences,Scholarship,7061,3/16/2014,Studio Art,2646,WI
College of Agriculture and Natural Resources,Denver,College of Nursing,Scholarship,5110.5,11/17/2014,Summer Research Program,2647,CO
College of Business,Detroit,College of Political Science,Scholarship,4371,11/17/2014,Social Relations and Policy,2648,MI
Diversity Fund,Orlando,College of Arts and Sciences,Endowment,4713,10/25/2014,Theatre,2649,FL
Faculty Chair Endowments,Fresno,College of Political Science,Endowment,158,6/19/2014,Political Theory and Constitutional Democracy,2650,CA
Faculty Chair Endowments,Richmond,College of Political Science,Endowment,5750,3/12/2014,Political Theory and Constitutional Democracy,2651,VA
Diversity Fund,Washington,College of Engineering,Endowment,3303,10/27/2014,Computer Science,2652,DC
Campus Museums,Henderson,College of Agriculture and Natural Resources,Campus Resource,5368,11/15/2014,Packaging,2653,NV
Campus Recreation,Detroit,College of Natural Science,Campus Resource,9735,6/8/2014,Neuroscience,2654,MI
Campus Recreation,Chicago,College of Agriculture and Natural Resources,Campus Resource,1536,2/13/2014,Animal Science,2655,IL
Alumni Association,Oklahoma City,College of Social Science,Campus Resource,6721,5/2/2014,History,2656,OK
College of Political Science,Nashville,College of Social Science,Scholarship,1024,10/15/2014,Social Work,2657,TN
University Annual Fund,Lincoln,College of Arts and Sciences,Endowment,8294,12/15/2014,German,2658,NE
Diversity Fund,Hartford,College of Natural Science,Endowment,1317,3/29/2014,Neuroscience,2659,CT
College of Natural Science,Grand Rapids,College of Social Science,Scholarship,4022,7/24/2014,Human Development and Family Studies,2660,MI
Faculty Chair Endowments,Chicago,College of Agriculture and Natural Resources,Endowment,2587,4/29/2014,Fisheries and Wildlife,2661,IL
Faculty Chair Endowments,Denver,College of Social Science,Endowment,6114,5/26/2014,Human Development and Family Studies,2662,CO
Diversity Fund,Denver,College of Arts and Sciences,Endowment,5644.5,3/4/2014,Studio Art,2663,CO
University Annual Fund,Colorado Springs,College of Natural Science,Endowment,8823,8/10/2014,Genomics & Molecular Genetics,2664,CO
Athletics,Hartford,College of Arts and Sciences,Campus Resource,331,3/25/2014,Global Studies in the Arts and Humanities,2665,CT
College of Social Science,Omaha,College of Arts and Sciences,Scholarship,3172,8/21/2014,English,2666,NE
College of Social Science,Albuquerque,College of Music,Scholarship,6598,7/30/2014,Composition,2667,NM
University Annual Fund,New York,College of Social Science,Endowment,6141,8/15/2014,Sociology,2668,NY
Faculty Chair Endowments,Cincinnati,College of Arts and Sciences,Endowment,1328,9/22/2014,Interdisciplinary Humanities,2669,OH
University Libraries,Mesa,College of Political Science,Campus Resource,7837,9/3/2014,Comparative Cultures and Politics,2670,AZ
Trustees Fund,Madison,College of Arts and Sciences,Endowment,340,8/26/2014,Apparel and Textile Design,2671,WI
Trustees Fund,Denver,College of Social Science,Endowment,9916.5,9/16/2014,Anthropology,2672,CO
University Annual Fund,San Francisco,College of Music,Endowment,908,11/5/2014,Jazz Studies,2673,CA
College of Communication Arts and Sciences,Providence,College of Social Science,Scholarship,2810,9/8/2014,History Education,2674,RI
College of Engineering,Omaha,College of Arts and Sciences,Scholarship,1492,10/29/2014,Japanese,2675,NE
Faculty Chair Endowments,Knoxville,College of Music,Endowment,5554,3/21/2014,Music Performance,2676,TN
College of Natural Science,Henderson,College of Social Science,Scholarship,2966,8/14/2014,Psychology,2677,NV
Parents Association,Providence,College of Arts and Sciences,Campus Resource,548,11/28/2014,Spanish,2678,RI
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,8345,3/15/2014,Neuroscience,2679,TN
University Annual Fund,Cedar Rapids,College of Natural Science,Endowment,9229,10/14/2014,Chemical Physics,2680,IA
Trustees Fund,Phoenix,College of Social Science,Endowment,2088,1/20/2014,Global & Area Studies - Soc Sci,2681,AZ
College of Communication Arts and Sciences,Houston,College of Arts and Sciences,Scholarship,8762,3/21/2014,French,2682,TX
College of Communication Arts and Sciences,Denver,College of Agriculture and Natural Resources,Scholarship,7428,12/29/2014,Entomology,2683,CO
Trustees Fund,Denver,College of Music,Endowment,5394,11/25/2014,Music Performance,2684,CO
Campus Museums,New York,College of Natural Science,Campus Resource,9652,4/3/2014,Environmental Biology/Microbiology,2685,NY
Honors Program,Austin,College of Music,Campus Resource,9607,3/9/2014,Jazz Studies,2686,TX
College of Social Science,Austin,College of Agriculture and Natural Resources,Scholarship,7244,11/2/2014,Environmental Studies and Agriscience,2687,TX
College of Social Science,San Francisco,College of Communication Arts and Sciences,Scholarship,2307,5/22/2014,Media and Information,2688,CA
Trustees Fund,Fresno,College of Social Science,Endowment,6142,3/16/2014,Geography,2689,CA
Alumni Association,Indianapolis,College of Political Science,Campus Resource,9246,10/26/2014,College of Political Science,2690,IN
College of Natural Science,Atlanta,College of Engineering,Scholarship,9529,5/31/2014,Computer Engineering,2691,GA
College of Natural Science,San Diego,College of Social Science,Scholarship,531,5/7/2014,Geography,2692,CA
College of Agriculture and Natural Resources,Little Rock,College of Social Science,Scholarship,2926,2/18/2014,Geography,2693,AR
Minority Scholarship Fund,Lincoln,College of Engineering,Scholarship,9362,5/5/2014,Electrical Engineering,2694,NE
Diversity Fund,Houston,College of Agriculture and Natural Resources,Endowment,9873,2/22/2014,Fisheries and Wildlife,2695,TX
Faculty Chair Endowments,Denver,College of Political Science,Endowment,14221.5,1/13/2014,Comparative Cultures and Politics,2696,CO
Parents Association,San Diego,College of Social Science,Campus Resource,8731,9/15/2014,Political Science-Prelaw,2697,CA
Minority Scholarship Fund,Wichita,College of Social Science,Scholarship,8414,9/29/2014,Sociology,2698,KS
College of Arts and Sciences,Denver,College of Arts and Sciences,Scholarship,13590,9/6/2014,Studio Art,2699,CO
Faculty Chair Endowments,Las Vegas,College of Music,Endowment,3254,9/24/2014,Composition,2700,NV
Diversity Fund,San Francisco,College of Social Science,Endowment,8935,11/20/2014,Public Policy,2701,CA
University Libraries,San Francisco,College of Arts and Sciences,Campus Resource,151,2/3/2014,Japanese,2702,CA
College of Arts and Sciences,Miami,College of Social Science,Scholarship,9908,10/18/2014,Psychology,2703,FL
Alumni Association,Denver,College of Agriculture and Natural Resources,Campus Resource,7138.5,12/23/2014,Food Science,2704,CO
College of Political Science,Colorado Springs,College of Natural Science,Scholarship,9631,9/8/2014,Geological Sciences,2705,CO
College of Agriculture and Natural Resources,Savannah,College of Arts and Sciences,Scholarship,36,3/20/2014,Humanities-Prelaw,2706,GA
College of Agriculture and Natural Resources,Amarillo,College of Arts and Sciences,Scholarship,1815,8/25/2014,Art Education,2707,TX
Faculty Chair Endowments,New Haven,College of Social Science,Endowment,1106,12/5/2014,Social Work,2708,CT
College of Business,Grand Rapids,College of Arts and Sciences,Scholarship,3207,4/22/2014,Experience Architecture,2709,MI
College of Business,Denver,College of Arts and Sciences,Scholarship,10195.5,10/30/2014,Professional Writing,2710,CO
Campus Recreation,Indianapolis,College of Social Science,Campus Resource,9381,6/15/2014,Anthropology,2711,IN
Campus Recreation,San Diego,College of Engineering,Campus Resource,873,3/10/2014,Materials Science and Engineering,2712,CA
Minority Scholarship Fund,Richmond,College of Agriculture and Natural Resources,Scholarship,7896,11/1/2014,Animal Science,2713,VA
Honors Program,North Las Vegas,College of Engineering,Campus Resource,6318,9/1/2014,Computer Science,2714,NV
College of Natural Science,Hartford,College of Agriculture and Natural Resources,Scholarship,3885,1/14/2014,Landscape Architecture,2715,CT
College of Education,Little Rock,College of Social Science,Scholarship,6157,9/20/2014,Interdisciplinary Studies in Social Science,2716,AR
College of Education,Manchester,College of Social Science,Scholarship,379,11/23/2014,Interdisciplinary Studies in Social Science,2717,NH
College of Education,Seattle,College of Arts and Sciences,Scholarship,8568,10/8/2014,Chinese,2718,WA
University Annual Fund,New York,College of Social Science,Endowment,2277,7/5/2014,Psychology,2719,NY
Alumni Association,Raleigh,College of Natural Science,Campus Resource,1208,3/21/2014,Geological Sciences,2720,NC
Faculty Chair Endowments,Lansing,College of Agriculture and Natural Resources,Endowment,8149,2/9/2014,Food Industry Management,2721,MI
College of Agriculture and Natural Resources,Fort Lauderdale,College of Arts and Sciences,Scholarship,5107,12/20/2014,Experience Architecture,2722,FL
College of Natural Science,Denver,College of Arts and Sciences,Scholarship,204,6/26/2014,Professional Writing,2723,CO
College of Education,San Francisco,College of Business,Scholarship,6819,9/1/2014,Human Resource Management,2724,CA
College of Education,Springfield,College of Agriculture and Natural Resources,Scholarship,6838,3/6/2014,Food Industry Management,2725,IL
College of Engineering,Reno,College of Social Science,Scholarship,5063,1/21/2014,Geography,2726,NV
College of Social Science,Atlanta,College of Social Science,Scholarship,2797,5/10/2014,Geographic Information Science,2727,GA
College of Natural Science,Dallas,College of Social Science,Scholarship,5439,10/23/2014,Interdisciplinary Studies in Social Science - Social Science Education,2728,TX
College of Social Science,Raleigh,College of Natural Science,Scholarship,7178,1/12/2014,Preoptometry,2729,NC
College of Natural Science,Los Angeles,College of Natural Science,Scholarship,1220,10/6/2014,Physical Science Interdepartmental,2730,CA
College of Business,Huntsville,College of Natural Science,Scholarship,2533,6/5/2014,Biochemistry and Molecular Biology,2731,AL
College of Business,Mesa,College of Social Science,Scholarship,6165,5/9/2014,Urban and Regional Planning,2732,AZ
Faculty Chair Endowments,Orlando,College of Social Science,Endowment,6690,12/1/2014,Sociology,2733,FL
College of Arts and Sciences,New York,College of Music,Scholarship,5046,4/16/2014,Composition,2734,NY
College of Nursing,Indianapolis,College of Natural Science,Scholarship,9306,12/19/2014,Zoology,2735,IN
Minority Scholarship Fund,Indianapolis,College of Natural Science,Scholarship,9306,3/6/2015,Zoology,2735,IN
Faculty Chair Endowments,Kansas City,College of Natural Science,Endowment,1503,4/19/2014,Microbiology,2736,MO
Alumni Association,Kansas City,College of Natural Science,Campus Resource,1503,2/27/2015,Microbiology,2736,MO
College of Agriculture and Natural Resources,New Haven,College of Arts and Sciences,Scholarship,2502,11/15/2014,Apparel and Textile Design,2737,CT
Campus Recreation,New Haven,College of Arts and Sciences,Campus Resource,2502,3/26/2015,Apparel and Textile Design,2737,CT
Campus Museums,St. Louis,College of Communication Arts and Sciences,Campus Resource,149,12/26/2014,Media and Information,2738,MO
College of Communication Arts and Sciences,St. Louis,College of Communication Arts and Sciences,Scholarship,149,6/29/2015,Media and Information,2738,MO
University Annual Fund,Spokane,College of Social Science,Endowment,8119,7/1/2014,Social Work,2739,WA
College of Arts and Sciences,Spokane,College of Social Science,Scholarship,8119,5/24/2015,Social Work,2739,WA
Honors Program,Tallahassee,College of Political Science,Campus Resource,8819,8/18/2014,College of Political Science,2740,FL
Faculty Chair Endowments,Tallahassee,College of Political Science,Endowment,8819,3/10/2015,College of Political Science,2740,FL
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,5980.5,5/1/2014,Humanities-Prelaw,2741,CO
Campus Recreation,Denver,College of Arts and Sciences,Campus Resource,5980.5,9/17/2015,Humanities-Prelaw,2741,CO
College of Business,Los Angeles,College of Agriculture and Natural Resources,Scholarship,7699,8/28/2014,Food Industry Management,2742,CA
University Libraries,Los Angeles,College of Agriculture and Natural Resources,Campus Resource,7699,12/21/2015,Food Industry Management,2742,CA
Honors Program,San Francisco,College of Social Science,Campus Resource,7558,9/24/2014,Political Science,2743,CA
University Libraries,San Francisco,College of Social Science,Campus Resource,7558,1/31/2015,Political Science,2743,CA
Faculty Chair Endowments,Provo,College of Natural Science,Endowment,8998,7/22/2014,Genomics & Molecular Genetics,2744,UT
College of Arts and Sciences,Provo,College of Natural Science,Scholarship,8998,8/8/2015,Genomics & Molecular Genetics,2744,UT
Faculty Chair Endowments,Lincoln,College of Natural Science,Endowment,7123,4/18/2014,Predental,2745,NE
College of Arts and Sciences,Lincoln,College of Natural Science,Scholarship,7123,10/16/2015,Predental,2745,NE
College of Arts and Sciences,Los Angeles,College of Business,Scholarship,4869,6/18/2014,Human Resource Management,2746,CA
Campus Museums,Los Angeles,College of Business,Campus Resource,4869,8/30/2015,Human Resource Management,2746,CA
College of Agriculture and Natural Resources,Columbia,College of Social Science,Scholarship,1479,6/23/2014,Interdisciplinary Studies in Social Science - Social Science Education,2747,SC
College of Agriculture and Natural Resources,Columbia,College of Social Science,Scholarship,1479,11/9/2015,Interdisciplinary Studies in Social Science - Social Science Education,2747,SC
College of Arts and Sciences,San Francisco,College of Natural Science,Scholarship,2779,5/30/2014,Microbiology,2748,CA
In-State Scholarship Fund,San Francisco,College of Natural Science,Scholarship,2779,2/11/2015,Microbiology,2748,CA
University Libraries,Houston,College of Arts and Sciences,Campus Resource,6644,12/26/2014,Experience Architecture,2749,TX
Minority Scholarship Fund,Houston,College of Arts and Sciences,Scholarship,6644,11/29/2015,Experience Architecture,2749,TX
Honors Program,Austin,College of Arts and Sciences,Campus Resource,8302,11/25/2014,Studio Art,2750,TX
University Annual Fund,Austin,College of Arts and Sciences,Endowment,8302,3/19/2015,Studio Art,2750,TX
Diversity Fund,New Orleans,College of Social Science,Endowment,9220,8/7/2014,Human Development and Family Studies,2751,LA
Diversity Fund,New Orleans,College of Social Science,Endowment,9220,7/8/2015,Human Development and Family Studies,2751,LA
College of Natural Science,Chicago,College of Nursing,Scholarship,1648,2/15/2014,Prenursing,2752,IL
College of Social Science,Chicago,College of Nursing,Scholarship,1648,11/8/2015,Prenursing,2752,IL
University Annual Fund,San Francisco,College of Nursing,Endowment,7094,9/30/2014,Prenursing,2753,CA
Campus Recreation,San Francisco,College of Nursing,Campus Resource,7094,9/22/2015,Prenursing,2753,CA
College of Arts and Sciences,Denver,College of Social Science,Scholarship,13498.5,11/16/2014,World Politics,2754,CO
University Annual Fund,Denver,College of Social Science,Endowment,13498.5,6/18/2015,World Politics,2754,CO
College of Arts and Sciences,Louisville,College of Communication Arts and Sciences,Scholarship,8976,7/24/2014,Media and Information,2755,KY
College of Natural Science,Louisville,College of Communication Arts and Sciences,Scholarship,8976,5/23/2015,Media and Information,2755,KY
